NM_MUN,SIGLA_UF
Afonso Cláudio,ES
Alegre,ES
Alfredo Chaves,ES
Anchieta,ES
Apiacá,ES
Atílio Vivácqua,ES
Bom Jesus do Norte,ES
Brejetuba,ES
Cachoeiro de Itapemirim,ES
Castelo,ES
Conceição do Castelo,ES
Divino de São Lourenço,ES
Domingos Martins,ES
Dores do Rio Preto,ES
Guarapari,ES
Guaçuí,ES
Ibatiba,ES
Ibitirama,ES
Iconha,ES
Irupi,ES
Itapemirim,ES
Iúna,ES
Jerônimo Monteiro,ES
Marataízes,ES
Marechal Floriano,ES
Mimoso do Sul,ES
Muniz Freire,ES
Muqui,ES
Piúma,ES
Presidente Kennedy,ES
Rio Novo do Sul,ES
São José do Calçado,ES
Vargem Alta,ES
Venda Nova do Imigrante,ES
Viana,ES
Vila Velha,ES
Abre Campo,MG
Aiuruoca,MG
Alagoa,MG
Alfredo Vasconcelos,MG
Alto Caparaó,MG
Alto Jequitibá,MG
Alto Rio Doce,MG
Além Paraíba,MG
Amparo do Serra,MG
Andrelândia,MG
Antônio Carlos,MG
Antônio Prado de Minas,MG
Aracitaba,MG
Arantina,MG
Araponga,MG
Argirita,MG
Astolfo Dutra,MG
Baependi,MG
Barbacena,MG
Barroso,MG
Barão de Monte Alto,MG
Belmiro Braga,MG
Bias Fortes,MG
Bicas,MG
Bocaina de Minas,MG
Bom Jardim de Minas,MG
Brazópolis,MG
Cachoeira de Minas,MG
Caiana,MG
Cajuri,MG
Cambuquira,MG
Campanha,MG
Canaã,MG
Caparaó,MG
Caputira,MG
Carangola,MG
Caratinga,MG
Careaçu,MG
Carmo da Cachoeira,MG
Carmo de Minas,MG
Carrancas,MG
Carvalhos,MG
Cataguases,MG
Caxambu,MG
Chalé,MG
Chiador,MG
Chácara,MG
Coimbra,MG
Conceição das Pedras,MG
Conceição de Ipanema,MG
Conceição do Rio Verde,MG
Conceição dos Ouros,MG
Coronel Pacheco,MG
Cristina,MG
Cruzília,MG
Delfim Moreira,MG
Descoberto,MG
Desterro do Melo,MG
Divino,MG
Divinésia,MG
Dom Viçoso,MG
Dona Euzébia,MG
Dores do Turvo,MG
Durandé,MG
Ervália,MG
Espera Feliz,MG
Estrela Dalva,MG
Eugenópolis,MG
Ewbank da Câmara,MG
Faria Lemos,MG
Fervedouro,MG
Goianá,MG
Gonçalves,MG
Guaraciaba,MG
Guarani,MG
Guarará,MG
Guidoval,MG
Guiricema,MG
Heliodora,MG
Ibertioga,MG
Ingaí,MG
Ipanema,MG
Itajubá,MG
Itamarati de Minas,MG
Itamonte,MG
Itanhandu,MG
Itutinga,MG
Jequeri,MG
Jesuânia,MG
Juiz de Fora,MG
Lajinha,MG
Lambari,MG
Laranjal,MG
Leopoldina,MG
Liberdade,MG
Lima Duarte,MG
Luisburgo,MG
Luminárias,MG
Madre de Deus de Minas,MG
Manhuaçu,MG
Manhumirim,MG
Mar de Espanha,MG
Maria da Fé,MG
Maripá de Minas,MG
Marmelópolis,MG
Martins Soares,MG
Matias Barbosa,MG
Matipó,MG
Mercês,MG
Minduri,MG
Miradouro,MG
Miraí,MG
Monsenhor Paulo,MG
Muriaé,MG
Mutum,MG
Natércia,MG
Olaria,MG
Oliveira Fortes,MG
Olímpio Noronha,MG
Oratórios,MG
Orizânia,MG
Paiva,MG
Palma,MG
Paraisópolis,MG
Passa Quatro,MG
Passa Vinte,MG
Patrocínio do Muriaé,MG
Paula Cândido,MG
Pedra Bonita,MG
Pedra Dourada,MG
Pedra do Anta,MG
Pedralva,MG
Pedro Teixeira,MG
Pequeri,MG
Piau,MG
Piedade de Ponte Nova,MG
Piedade do Rio Grande,MG
Piranguinho,MG
Piranguçu,MG
Pirapetinga,MG
Piraúba,MG
Ponte Nova,MG
Porto Firme,MG
Pouso Alto,MG
Prados,MG
Presidente Bernardes,MG
Raul Soares,MG
Recreio,MG
Reduto,MG
Rio Casca,MG
Rio Novo,MG
Rio Pomba,MG
Rio Preto,MG
Rochedo de Minas,MG
Rodeiro,MG
Rosário da Limeira,MG
Santa Bárbara do Leste,MG
Santa Bárbara do Monte Verde,MG
